price,kunstenaar,height_painting_cm,width_painting_cm,condition,technique,signed,framed,height_frame_cm,width_frame_cm,period,style,subject,name,file_path,price_binned,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11,encoded_12,encoded_13,encoded_14,encoded_15,encoded_16,encoded_17,encoded_18,encoded_19,encoded_20,encoded_21,encoded_22,encoded_23,encoded_24,encoded_25,encoded_26,encoded_27,encoded_28,encoded_29
120.0,Shunyam (1953)                                           ,60.0,60.0,Goed      ,Acryl            ,Handgesigneerd             ,Ingelijst  ,76.0,76.0,2000 t/m Heden            ,Street Art       ,Dieren            ,"Shunyam - Acryl op doek, Kip in de wei - Ingelijst                                                                 ",..\cropped_data\0000.png,"(0, 250]",1.8199995756149292,1.5423178672790527,-0.1421927511692047,0.6166629195213318,-1.450526237487793,0.19175894558429718,-0.727280855178833,1.2639789581298828,-0.6860145926475525,-0.5992924571037292,0.2944484055042267,0.898050844669342,0.15621405839920044,-0.6132792234420776,-1.2361083030700684,1.0387609004974365,-0.13204239308834076,0.06918299943208694,-0.7898460030555725,-0.2613815665245056,1.7823405265808105,-0.3288997411727905,-0.3806057572364807,-0.38552460074424744,-0.1515606939792633,-1.8250354528427124,0.6616031527519226,-0.599590003490448,-0.6123508214950562,0.09776023775339127
275.0,Thomas Buechner (1926-2010)                              ,26.0,38.0,Nieuwstaat,Olieverf         ,Handgesigneerd             ,Ingelijst  ,35.0,47.0,1945 t/m 1999             ,Klassiek         ,Landschap         ,"Thomas Buechner - Bottcher’s tobacco farm, olieverf op paneel (prachtig ingelijst)                                 ",..\cropped_data\0001.png,"(250, 1250]",1.2319080829620361,0.47862568497657776,-0.6807702779769897,0.12586835026741028,-0.4221855401992798,1.2728161811828613,-0.12111813575029373,1.1461834907531738,0.07887910306453705,-1.859787940979004,-0.9842738509178162,0.6175464391708374,-0.5919455885887146,-0.6335259675979614,-0.054648302495479584,1.283779263496399,0.405239075422287,-0.5084944367408752,0.05413873866200447,-0.6313559412956238,1.596157193183899,-0.24693071842193604,-0.3005194067955017,-0.5157239437103271,0.5837450623512268,-1.7687115669250488,-0.618195116519928,-0.37772494554519653,-0.021977007389068604,0.3180406987667084
120.0,Harry Zeegers (1929)                                     ,70.0,60.0,Redelijk  ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,84.0,74.0,1945 t/m 1999             ,Impressionistisch,Stilleven         ,"Harry Zeegers - 6303, Bloemstilleven                                                                               ",..\cropped_data\0002.png,"(0, 250]",0.729823887348175,-0.3884856402873993,-1.448648452758789,0.5967438817024231,0.26635676622390747,1.3849873542785645,-0.764434814453125,1.4982715845108032,-0.8978248238563538,-1.889580488204956,-0.6767663955688477,-0.23017510771751404,-0.2083052694797516,-0.7078840136528015,-0.4177563488483429,0.9530242085456848,1.117993712425232,0.46975770592689514,0.954516589641571,-1.1895924806594849,1.4616714715957642,-0.6188303828239441,0.5645407438278198,-0.8263583779335022,1.8537187576293945,-1.8374216556549072,-0.8611871600151062,0.12469369173049927,-0.39774423837661743,0.30342745780944824
175.0,Wim Helder (1892-1966)                                   ,32.0,51.0,Goed      ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,37.0,56.0,1900 t/m 1944             ,Impressionistisch,Stadsgezicht      ,"Wim Helder - olieverf op doek op board, Parijs jaren '30                                                           ",..\cropped_data\0003.png,"(0, 250]",0.009247660636901855,-0.36376526951789856,-0.09323357045650482,-1.1257719993591309,-1.1613729000091553,0.046158820390701294,-0.6401128768920898,1.1095553636550903,-0.11926361173391342,-0.5064037442207336,-0.5690140128135681,1.8929320573806763,-0.12211298197507858,0.3838719129562378,-0.7568114399909973,1.325997233390808,-0.06700760871171951,1.1078431606292725,-0.2851763963699341,-0.7709128856658936,1.727234125137329,0.342958927154541,-0.575302004814148,-0.7726078629493713,-0.7023420929908752,-0.34185558557510376,-0.5231378078460693,-0.012052906677126884,-1.0967516899108887,0.6118448972702026
295.0,Willem Witjens (1884-1962)                               ,41.0,60.0,Goed      ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,49.0,68.0,1900 t/m 1944             ,Impressionistisch,Landschap         ,Willem Witjens - olieverf op doek - sneeuwlandschap                                                                  ,..\cropped_data\0004.png,"(250, 1250]",0.6475258469581604,0.4516763985157013,-0.5289236307144165,-0.9745708107948303,-1.3836742639541626,1.163522720336914,-0.4643005430698395,0.5011680722236633,0.2484462708234787,-1.0973634719848633,-0.5850329995155334,1.0050753355026245,0.5823618173599243,0.07813120633363724,-0.5806660652160645,1.9193028211593628,1.7721914052963257,0.05585400015115738,0.34531301259994507,0.08374661952257156,1.4486949443817139,-0.9896913170814514,0.4080047905445099,-0.8532206416130066,0.13839071989059448,-1.4313857555389404,-0.20150108635425568,-0.2510738670825958,0.2927232086658478,-0.09496120363473892
250.0,Toos van Holstein (1949)                                 ,80.0,70.0,Goed      ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,84.0,73.0,1945 t/m 1999             ,Modern           ,Stadsgezicht      ,Toos van Holstein - Venetië                                                                                          ,..\cropped_data\0005.png,"(0, 250]",1.5996121168136597,1.3730472326278687,-0.09545361995697021,1.3054875135421753,-0.9070003032684326,-0.2519971430301666,-0.742708683013916,0.5457143187522888,-0.9275195002555847,-0.5412724614143372,0.3152848184108734,0.6883358955383301,-0.21046635508537292,-0.9719215631484985,-0.8196031451225281,1.3943946361541748,-0.39137405157089233,0.6880257725715637,-0.9957391619682312,-0.6091337203979492,1.3773304224014282,0.2295941412448883,-0.6838224530220032,-0.2682289779186249,-1.2878271341323853,-0.8044521808624268,0.4443572759628296,-0.8587321639060974,-0.1847410798072815,1.7615854740142822
175.0,Jan Simon Knikker (jr.) (1911-1990)                      ,40.0,50.0,Goed      ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,51.0,61.0,1945 t/m 1999             ,Klassiek         ,Landschap         ,Jan Simon Knikker (jr.) - De Linge bij den Deijl                                                                     ,..\cropped_data\0006.png,"(0, 250]",1.0993587970733643,-0.31332215666770935,-0.5961863994598389,1.0665252208709717,0.06316407024860382,0.4314098358154297,-1.1762036085128784,0.6427044868469238,-0.7393994927406311,-1.251383662223816,0.20846182107925415,0.20351332426071167,0.1833682507276535,0.4845448434352875,-0.09915514290332794,0.8420585989952087,0.5600875020027161,-0.37709516286849976,-1.227663516998291,-0.814154326915741,0.8205161094665527,-0.6345922946929932,0.2053072452545166,0.4782460927963257,-0.6174087524414062,-1.1744163036346436,-0.08074165880680084,0.001893745269626379,-0.7738993167877197,0.6407005786895752
250.0,William Remory (1958)                                    ,70.0,52.0,Nieuwstaat,Gemengde Techniek,Handgesigneerd             ,Ingelijst  ,109.0,79.0,2000 t/m Heden            ,Abstract         ,Figuren           ,William Remory - in de ban                                                                                           ,..\cropped_data\0007.png,"(0, 250]",0.5703621506690979,-0.08880262821912766,-0.8217663764953613,-1.6046216487884521,-1.1305938959121704,0.3889630436897278,-0.6062806248664856,0.8643110990524292,0.127733051776886,-1.2324193716049194,-1.2553893327713013,0.8983893394470215,0.46549302339553833,0.23267436027526855,-1.103180170059204,1.2168114185333252,0.5491511225700378,0.2798177897930145,0.48723796010017395,-0.7399314045906067,2.251329183578491,-0.13317126035690308,0.10865793377161026,-0.5766295194625854,0.11603425443172455,-1.5300861597061157,-0.7743119597434998,0.18373632431030273,-0.42072251439094543,-0.38687023520469666
250.0,Henri van Os-Delhez (1880-1976)                          ,51.0,40.0,Redelijk  ,Olieverf         ,Handgesigneerd             ,Ingelijst  ,57.0,47.0,1900 t/m 1944             ,Impressionistisch,Stilleven         ,Henri van Os-Delhez - C3892-1 - Stilleven met rozen                                                                  ,..\cropped_data\0008.png,"(0, 250]",1.3474937677383423,-0.4715900123119354,-0.9328299760818481,-0.36737796664237976,-0.22348552942276,0.7512044906616211,-0.9818537831306458,2.6602821350097656,0.1125597208738327,-1.3481730222702026,-0.6655576825141907,1.6886210441589355,0.272990345954895,0.3834340274333954,-0.9447932243347168,0.6657583117485046,0.21788296103477478,-0.632541835308075,-0.6732537150382996,-0.4504334032535553,2.171229600906372,-0.0013599172234535217,-0.5202097296714783,-0.9060278534889221,0.19628490507602692,-1.6920232772827148,-0.6402122378349304,0.7839721441268921,-0.16426929831504822,-0.43446969985961914
200.0,Berry Brugman (1915-1996)                                ,100.0,70.0,Goed      ,Olieverf         ,Ongesigneerd               ,Ingelijst  ,102.0,72.0,1945 t/m 1999             ,Expressionistisch,Figuren           ,"Berry Brugman - Olieverf op doek, Visser - Ingelijst                                                               ",..\cropped_data\0009.png,"(0, 250]",-0.23009255528450012,0.25594842433929443,-1.5023947954177856,0.2849823832511902,-0.3752122223377228,0.2378261536359787,-0.26685696840286255,0.7367510199546814,1.152809500694275,-1.4636263847351074,-0.19178196787834167,-0.27712875604629517,0.06124766170978546,-0.8268347382545471,-0.6744549870491028,1.1311341524124146,1.6504871845245361,0.4255388379096985,0.6254574060440063,0.1608276665210724,1.4834983348846436,-0.845669686794281,0.6079018712043762,-0.9447149634361267,0.33940669894218445,-1.1824045181274414,-0.5782241225242615,0.18238285183906555,-0.24463316798210144,-0.5011271834373474
